file,text_id,strategy,error,parse_success
Results/Readability_Results/dataset_with_readability.csv,28,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,29,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,29,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,29,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,29,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,30,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,30,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,30,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,30,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,31,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,31,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,31,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,31,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,32,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,32,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,32,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,32,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,33,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,33,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,33,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,33,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,34,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,34,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,34,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,34,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,35,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,35,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,35,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,35,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,36,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,36,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,36,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,36,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,37,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,37,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,37,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,37,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,38,lexical,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,38,persona1,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,38,persona2,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,38,persona3,Connection error.,False
Results/Readability_Results/dataset_with_readability.csv,39,lexical,Connection error.,False
