text_id,kendall_tau,p_value
CT0306,0.3333333333333334,0.75
CT0307,-1.0,0.08333333333333333
CT0308,0.0,1.0
CT0309,-0.6666666666666669,0.3333333333333333
CT0310,0.3333333333333334,0.75
CT0311,0.0,1.0
CT0312,0.6666666666666669,0.3333333333333333
CT0313,0.6666666666666669,0.3333333333333333
CT0314,1.0,0.08333333333333333
CT0315,0.0,1.0
CT0316,0.6666666666666669,0.3333333333333333
CT0317,-0.6666666666666669,0.3333333333333333
CT0318,1.0,0.08333333333333333
CT0319,-0.3333333333333334,0.75
CT0320,0.0,1.0
CT0321,1.0,0.08333333333333333
CT0322,1.0,0.08333333333333333
CT0323,0.0,1.0
CT0324,-0.3333333333333334,0.75
CT0325,0.3333333333333334,0.75
CT0326,0.0,1.0
CT0327,0.3333333333333334,0.75
CT0328,0.0,1.0
CT0329,0.0,1.0
CT0330,1.0,0.08333333333333333
CT0331,0.0,1.0
CT0332,0.6666666666666669,0.3333333333333333
CT0333,0.3333333333333334,0.75
CT0334,0.3333333333333334,0.75
CT0335,1.0,0.08333333333333333
CT0336,0.0,1.0
CT0337,-0.3333333333333334,0.75
CT0338,0.3333333333333334,0.75
CT0339,0.3333333333333334,0.75
CT0340,0.3333333333333334,0.75
CT0341,0.6666666666666669,0.3333333333333333
CT0342,0.6666666666666669,0.3333333333333333
CT0343,-0.3333333333333334,0.75
CT0344,0.6666666666666669,0.3333333333333333
CT0345,0.3333333333333334,0.75
CT0346,0.6666666666666669,0.3333333333333333
CT0347,-0.3333333333333334,0.75
CT0348,0.6666666666666669,0.3333333333333333
CT0349,0.3333333333333334,0.75
CT0350,0.3333333333333334,0.75
CT0351,0.0,1.0
CT0352,0.3333333333333334,0.75
CT0353,0.3333333333333334,0.75
CT0354,0.3333333333333334,0.75
CT0355,1.0,0.08333333333333333
CT0356,0.6666666666666669,0.3333333333333333
CT0357,0.6666666666666669,0.3333333333333333
CT0358,0.6666666666666669,0.3333333333333333
CT0359,0.0,1.0
CT0360,-0.3333333333333334,0.75
CT0361,-0.3333333333333334,0.75
CT0362,1.0,0.08333333333333333
CT0363,0.3333333333333334,0.75
CT0364,-0.3333333333333334,0.75
CT0365,-0.3333333333333334,0.75
CT0366,0.0,1.0
CT0367,0.6666666666666669,0.3333333333333333
CT0368,1.0,0.08333333333333333
CT0369,-0.6666666666666669,0.3333333333333333
CT0370,0.6666666666666669,0.3333333333333333
CT0371,0.3333333333333334,0.75
CT0372,0.6666666666666669,0.3333333333333333
CT0373,0.0,1.0
CT0374,0.6666666666666669,0.3333333333333333
CT0375,0.6666666666666669,0.3333333333333333
CT0376,0.0,1.0
CT0377,0.0,1.0
CT0378,0.0,1.0
CT0379,0.0,1.0
CT0380,0.0,1.0
CT0381,-0.3333333333333334,0.75
CT0382,-0.3333333333333334,0.75
CT0383,0.0,1.0
CT0384,-0.6666666666666669,0.3333333333333333
CT0385,0.6666666666666669,0.3333333333333333
CT0386,0.6666666666666669,0.3333333333333333
CT0387,0.0,1.0
CT0388,-0.3333333333333334,0.75
CT0389,0.6666666666666669,0.3333333333333333
CT0390,0.0,1.0
CT0391,0.0,1.0
CT0392,-0.3333333333333334,0.75
CT0393,0.3333333333333334,0.75
CT0394,0.3333333333333334,0.75
CT0395,0.3333333333333334,0.75
CT0396,-0.3333333333333334,0.75
CT0397,-0.3333333333333334,0.75
CT0398,0.0,1.0
CT0399,-0.6666666666666669,0.3333333333333333
CT0400,-0.3333333333333334,0.75
CT0401,-1.0,0.08333333333333333
CT0402,-0.3333333333333334,0.75
CT0403,-0.3333333333333334,0.75
CT0404,0.0,1.0
CT0405,0.6666666666666669,0.3333333333333333
CT0406,0.3333333333333334,0.75
CT0407,0.3333333333333334,0.75
CT0408,0.3333333333333334,0.75
CT0409,0.6666666666666669,0.3333333333333333
CT0410,0.0,1.0
CT0411,0.0,1.0
CT0412,0.6666666666666669,0.3333333333333333
CT0413,-0.3333333333333334,0.75
CT0414,-0.3333333333333334,0.75
CT0415,-0.6666666666666669,0.3333333333333333
CT0416,0.3333333333333334,0.75
CT0417,0.6666666666666669,0.3333333333333333
CT0418,0.6666666666666669,0.3333333333333333
CT0419,0.3333333333333334,0.75
CT0420,0.3333333333333334,0.75
CT0421,0.0,1.0
CT0422,0.6666666666666669,0.3333333333333333
CT0423,0.0,1.0
CT0424,-0.6666666666666669,0.3333333333333333
CT0425,0.3333333333333334,0.75
CT0426,0.6666666666666669,0.3333333333333333
CT0427,0.0,1.0
CT0428,0.0,1.0
CT0429,1.0,0.08333333333333333
CT0430,0.0,1.0
CT0431,0.6666666666666669,0.3333333333333333
CT0432,-0.6666666666666669,0.3333333333333333
CT0433,-1.0,0.08333333333333333
CT0434,0.3333333333333334,0.75
CT0435,0.0,1.0
CT0436,0.3333333333333334,0.75
CT0437,0.0,1.0
CT0438,-0.3333333333333334,0.75
CT0439,0.0,1.0
CT0440,0.3333333333333334,0.75
CT0441,-0.6666666666666669,0.3333333333333333
CT0442,0.6666666666666669,0.3333333333333333
CT0443,-1.0,0.08333333333333333
CT0444,0.6666666666666669,0.3333333333333333
CT0445,0.3333333333333334,0.75
CT0446,0.3333333333333334,0.75
CT0447,0.6666666666666669,0.3333333333333333
CT0448,-0.3333333333333334,0.75
CT0449,0.0,1.0
CT0450,0.0,1.0
CT0451,0.0,1.0
CT0452,1.0,0.08333333333333333
CT0453,0.3333333333333334,0.75
CT0454,0.3333333333333334,0.75
CT0455,0.0,1.0
CT0456,0.3333333333333334,0.75
CT0457,-0.6666666666666669,0.3333333333333333
CT0458,0.0,1.0
CT0459,1.0,0.08333333333333333
CT0460,-0.3333333333333334,0.75
CT0461,0.3333333333333334,0.75
CT0462,0.6666666666666669,0.3333333333333333
CT0463,0.0,1.0
CT0464,0.3333333333333334,0.75
CT0465,0.6666666666666669,0.3333333333333333
CT0466,1.0,0.08333333333333333
CT0467,0.6666666666666669,0.3333333333333333
CT0468,0.6666666666666669,0.3333333333333333
CT0469,0.0,1.0
CT0470,0.0,1.0
CT0471,0.3333333333333334,0.75
CT0472,0.3333333333333334,0.75
CT0473,0.6666666666666669,0.3333333333333333
CT0474,1.0,0.08333333333333333
CT0475,1.0,0.08333333333333333
CT0476,-1.0,0.08333333333333333
CT0477,0.6666666666666669,0.3333333333333333
CT0478,0.3333333333333334,0.75
CT0479,0.0,1.0
CT0480,1.0,0.08333333333333333
CT0481,0.6666666666666669,0.3333333333333333
CT0482,0.6666666666666669,0.3333333333333333
CT0483,0.6666666666666669,0.3333333333333333
CT0484,0.6666666666666669,0.3333333333333333
CT0485,0.3333333333333334,0.75
CT0486,0.6666666666666669,0.3333333333333333
CT0487,1.0,0.08333333333333333
CT0488,0.3333333333333334,0.75
CT0489,0.3333333333333334,0.75
CT0490,0.6666666666666669,0.3333333333333333
CT0491,0.3333333333333334,0.75
CT0492,0.3333333333333334,0.75
CT0493,-0.3333333333333334,0.75
CT0494,1.0,0.08333333333333333
CT0495,0.0,1.0
CT0496,0.3333333333333334,0.75
CT0497,0.3333333333333334,0.75
CT0498,-1.0,0.08333333333333333
CT0499,0.0,1.0
CT0500,0.3333333333333334,0.75
CT0501,0.3333333333333334,0.75
CT0502,0.6666666666666669,0.3333333333333333
CT0503,0.3333333333333334,0.75
CT0504,0.6666666666666669,0.3333333333333333
CT0505,0.6666666666666669,0.3333333333333333
CT0506,0.6666666666666669,0.3333333333333333
CT0507,0.3333333333333334,0.75
CT0508,0.0,1.0
CT0509,-0.6666666666666669,0.3333333333333333
CT0510,-0.3333333333333334,0.75
CT0511,0.6666666666666669,0.3333333333333333
CT0512,0.0,1.0
CT0513,0.0,1.0
CT0514,-0.3333333333333334,0.75
CT0515,0.3333333333333334,0.75
CT0516,0.6666666666666669,0.3333333333333333
CT0517,0.6666666666666669,0.3333333333333333
CT0518,0.3333333333333334,0.75
CT0519,0.6666666666666669,0.3333333333333333
CT0520,0.6666666666666669,0.3333333333333333
CT0521,0.0,1.0
CT0522,0.3333333333333334,0.75
CT0523,0.3333333333333334,0.75
CT0524,0.3333333333333334,0.75
CT0525,0.3333333333333334,0.75
CT0526,0.3333333333333334,0.75
CT0527,0.3333333333333334,0.75
CT0528,0.0,1.0
CT0529,0.6666666666666669,0.3333333333333333
CT0530,-0.6666666666666669,0.3333333333333333
CT0531,-0.3333333333333334,0.75
CT0532,0.6666666666666669,0.3333333333333333
CT0533,1.0,0.08333333333333333
CT0534,0.3333333333333334,0.75
CT0535,0.3333333333333334,0.75
CT0536,0.6666666666666669,0.3333333333333333
CT0537,0.6666666666666669,0.3333333333333333
CT0538,-0.3333333333333334,0.75
CT0539,0.3333333333333334,0.75
CT0540,0.0,1.0
CT0541,0.0,1.0
CT0542,1.0,0.08333333333333333
CT0543,0.3333333333333334,0.75
CT0544,0.3333333333333334,0.75
CT0545,0.0,1.0
CT0546,0.3333333333333334,0.75
CT0547,0.6666666666666669,0.3333333333333333
CT0548,0.3333333333333334,0.75
CT0549,0.0,1.0
CT0550,0.0,1.0
CT0551,-0.6666666666666669,0.3333333333333333
CT0552,0.0,1.0
CT0553,-0.3333333333333334,0.75
CT0554,1.0,0.08333333333333333
CT0555,0.3333333333333334,0.75
CT0556,0.0,1.0
CT0557,-0.3333333333333334,0.75
CT0558,0.0,1.0
CT0559,0.3333333333333334,0.75
CT0560,0.6666666666666669,0.3333333333333333
CT0561,0.3333333333333334,0.75
CT0562,1.0,0.08333333333333333
CT0563,0.6666666666666669,0.3333333333333333
CT0564,0.3333333333333334,0.75
CT0565,0.3333333333333334,0.75
CT0566,0.3333333333333334,0.75
CT0567,0.3333333333333334,0.75
CT0568,0.0,1.0
CT0569,0.0,1.0
CT0570,0.6666666666666669,0.3333333333333333
CT0571,-0.3333333333333334,0.75
CT0572,0.0,1.0
CT0573,0.0,1.0
CT0574,0.6666666666666669,0.3333333333333333
CT0575,-0.6666666666666669,0.3333333333333333
CT0576,-0.3333333333333334,0.75
CT0577,1.0,0.08333333333333333
CT0578,0.6666666666666669,0.3333333333333333
CT0579,0.6666666666666669,0.3333333333333333
CT0580,0.6666666666666669,0.3333333333333333
CT0581,0.3333333333333334,0.75
CT0582,0.0,1.0
CT0583,0.0,1.0
CT0584,0.6666666666666669,0.3333333333333333
CT0585,0.3333333333333334,0.75
CT0586,0.0,1.0
CT0587,0.3333333333333334,0.75
CT0588,-0.6666666666666669,0.3333333333333333
CT0589,0.3333333333333334,0.75
CT0590,-0.3333333333333334,0.75
CT0591,0.0,1.0
CT0592,0.6666666666666669,0.3333333333333333
CT0593,-1.0,0.08333333333333333
CT0594,1.0,0.08333333333333333
CT0595,-0.6666666666666669,0.3333333333333333
CT0596,-0.3333333333333334,0.75
CT0597,-1.0,0.08333333333333333
CT0598,-0.6666666666666669,0.3333333333333333
CT0599,0.6666666666666669,0.3333333333333333
CT0600,-0.3333333333333334,0.75
CT0601,0.3333333333333334,0.75
CT0602,1.0,0.08333333333333333
CT0603,0.0,1.0
CT0604,0.3333333333333334,0.75
CT0605,0.0,1.0
CT0606,0.0,1.0
CT0607,0.6666666666666669,0.3333333333333333
CT0608,-0.3333333333333334,0.75
CT0609,-0.3333333333333334,0.75
CT0610,0.6666666666666669,0.3333333333333333
CT0611,0.3333333333333334,0.75
CT0612,0.6666666666666669,0.3333333333333333
CT0613,0.3333333333333334,0.75
CT0614,0.3333333333333334,0.75
CT0615,0.3333333333333334,0.75
CT0616,-0.6666666666666669,0.3333333333333333
CT0617,0.3333333333333334,0.75
CT0618,0.6666666666666669,0.3333333333333333
CT0619,0.0,1.0
CT0620,0.3333333333333334,0.75
CT0621,0.3333333333333334,0.75
